Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,: Ánimo. ¿Cómo andan? Muy buenos días.,0.0,7,25,04,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Bueno, pues vamos a tener tiempo porque no hay temas para exponer, de modo que van a ser preguntas, respuestas. Quedaron compañeros en lista. Va a alcanzar para más, vamos a tener tiempo. Y ya mañana no hay lista, sin lista.",0.0,41,25,04,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Nada más comenzamos hoy aclarar esto de Azteca, de las declaraciones de Ricardo Salinas, porque a raíz de que tenemos diferencias por la cuestión fiscal, por el pago de impuestos… Que ya ni siquiera se va a resolver en el Ejecutivo, sino ya está en el Poder Judicial y van a ser los jueces de los tribunales los que tienen que decidir sobre si debe o no debe pagar los impuestos, las cantidades que se deben de pagar, y él sostiene que no, que son deudas que le impusieron gobiernos anteriores, es un juicio que viene de tiempo atrás.",0.0,99,25,04,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Llegó hasta la suprema corte. Un ministro, Aguilar, guardó el expediente en su escritorio como nueve meses. Al mismo tiempo… Porque esa es la doble moral de los integrantes del Poder Judicial, no de todos, pero sí de los más abyectos y al servicio de la oligarquía, de los que se sentían dueños de México, que no pagaban impuestos y eran los que mandaban y hacían jugosos negocios al amparo del poder público y se quedaban con el presupuesto del pueblo. Entonces, ahora están molestos.",0.0,85,25,04,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y este ministro Aguilar, al mismo tiempo que tenía guardado en el cajón este asunto del pago o no pago de 22 mil millones de pesos, estaba otorgando amparos para que no se distribuyeran los libros de texto para estudiantes de educación básica, el doble rasero.",0.0,46,25,04,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, después de la denuncia que se hizo, sacó del cajón el expediente, lo expusieron y otros dos ministros resolvieron que no correspondía a la corte atenderlo, sino lo regresaron al juzgado, al tribunal, y ahí está.",0.0,37,25,04,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y ya hay otros juicios que llegan a la cantidad de 40, de 50 mil millones de pesos. Desde luego, no es que eso sea exactamente, pero es lo que está en litigio, y corresponde a estos jueces de los tribunales resolver, ya no es un asunto de nosotros. Lo único que yo les pediría es que resolvieran pronto porque ya llevan mucho tiempo; con todo respeto, que se aplique la justicia pronta y expedita, que no se esperen cinco meses a que termine mi gobierno.",0.0,86,25,04,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Hay un paquete de 22 mil millones, más otro que lleva a cerca de 50 mil millones, eso es lo que está en cuestión.",0.0,24,25,04,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Luego, está el tema del campo de golf, que de una vez aprovecho para explicarles por qué es la diferencia: cuando Fox, la casa presidencial… Ya ven que había casas presidenciales. Lo tengo que recordar porque todo esto ya se olvidó. Así como había avión presidencial, había casas presidenciales en Cozumel, en Cancún, el Acapulco y en Huatulco; yo ni las conozco.",0.0,62,25,04,2024
PREGUNTA, De Fonatur.,0.0,2,25,04,2024
