Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
DAVID AGUILAR ROMERO," Con su permiso, señor presidente, señora gobernadora Layda Sansores. Muy buenos días a todas y a todos, compañeras y compañeros.",0.0,20,06,11,2023
DAVID AGUILAR ROMERO,"Iniciamos el día de hoy con el ‘Quién es quién en los precios de los combustibles’, en donde advertimos una vez más que los precios promedio a nivel nacional se siguen manteniendo estables, en gran parte por la acertada política de incentivos fiscales, entre otros factores.",0.0,46,06,11,2023
DAVID AGUILAR ROMERO,"Al 31 de octubre, la mezcla mexicana en el mercado internacional presentó un precio por barril de 78 pesos con 45 centavos. Y en el contexto nacional, al 3 de noviembre, la gasolina regular estuvo a 22 pesos con 60 centavos por litro, la gasolina Premium a 24 pesos con 70 centavos y el diésel a 24 pesos con cuatro centavos.",0.0,61,06,11,2023
DAVID AGUILAR ROMERO,"Una vez más, la gasolina Premium en esta semana no tendrá incentivo, pero la regular contará con 10.8 por ciento y el diésel con 41.3 por ciento, esto en cuanto al IEPS.",0.0,32,06,11,2023
DAVID AGUILAR ROMERO,"Seguimos con Chrevron, Oxxo Gas y una vez más Petro Sevencomo las marcas con un mayor indicador de ganancia. Y, por el contrario, Total, BP y Exxon Mobil, al igual que la semana pasada, continúan como marcas aliadas de las y los consumidores, esto del 23 al 29 de octubre de este año.",0.0,53,06,11,2023
DAVID AGUILAR ROMERO,"En este mismo periodo, pero ahora en gasolina regular, tenemos a franquicia Pemex que, en Monterrey, Nuevo León, Servicios de Gasolina Santos tuvo un precio por litro de 25 pesos con 61 centavos, de los cuales tres pesos con 60 centavos se llevaron de ganancia en esta estación, algo que, como ya lo hemos visto, es bastante elevado, sin importar la región o, en ocasiones, el tema geográfico. Y, por ejemplo, allá, hasta la Paz, en Baja California Sur, el litro se dio en 22 pesos con 29 centavos, más de tres pesos por debajo; y también franquicia Pemex, quienes únicamente obtuvieron 17 centavos de ganancia.",0.0,106,06,11,2023
DAVID AGUILAR ROMERO,"Pasando ahora a la gasolina de alto octanaje, la Premium, pues no es sorpresa encontrar nuevamente a Petro Seven, y en Monterrey, Nuevo León, vendió el litro de este combustible en 26 pesos con 69 centavos en la avenida Revolución, ahí en la capital de Nuevo León, con un indicador de ganancia de tres pesos con 61 centavos, en contraste con franquicia Pemex, que en el puerto de Veracruz dio el litro de Premium en 22 pesos con 63 centavos y solamente 15 centavos de ganancia.",0.0,86,06,11,2023
DAVID AGUILAR ROMERO,"En el tema del diésel tenemos una vez más a Corpogas Inmobiliaria Claveles, allá en Cancún, Quintana Roo, donde ofreció el litro de este producto en 25 pesos 45 centavos con una utilidad de tres pesos con 31 centavos; en contraste con Megasur Petromerida que en Yucatán ofreció el diésel a 23 pesos con seis centavos por litro y con tan sólo 16 centavos de ganancia.",0.0,66,06,11,2023
DAVID AGUILAR ROMERO,"Del 27 de octubre al 2 de noviembre, señor presidente, se atendieron 304 denuncias, se realizaron 272 verificaciones y visitas de constatación, además que, en Ciudad Madero, Tamaulipas, una estación se negó a ser, se negó a la colocación de sellos de inmovilización y en Querétaro una gasolinera presentó irregularidades en dar litros de a litro.",0.0,56,06,11,2023
DAVID AGUILAR ROMERO,"Continuamos, como siempre y todas las semanas, con nuestro esquema de monitoreo de los servicios sanitarios en todas las estaciones de servicio que visitan nuestros verificadores y encuestadores.",0.0,28,06,11,2023
DAVID AGUILAR ROMERO,"Tenemos ahora el tema del gas LP y como cada semana reportamos que en esta ocasión el precio de referencia internacional en pesos fue de 20 pesos con 25 centavos por kilo y de 10 pesos con 98 centavos por litro frente a los precios promedio en las 220 regiones determinadas por la CRE, donde tenemos al 1º de noviembre que el kilogramo estuvo en 17 pesos con 78 centavos el litro y en tan sólo nueve pesos con 61 centavos el litro, también.",0.0,84,06,11,2023
DAVID AGUILAR ROMERO,"Una buena semana también para el tema del gas LP, pues las 831 verificaciones y visitas realizadas fueron validadas de manera correcta. Y, por ejemplo, en el caso del gas estacionario tuvimos que entre el 22 y 28 de octubre Gas Mundial de Guerrero, en el municipio de Eduardo Neri, en el estado de Guerrero, dio el litro en nueve pesos con 41 centavos manteniéndose por debajo del máximo en su respectiva región. Tenemos también casos similares en el Estado de México, Sinaloa, Puebla, Tamaulipas, Veracruz y Nuevo León.",0.0,89,06,11,2023
DAVID AGUILAR ROMERO,"En cuanto al gas en cilindros, varios casos similares se presentaron en Jalisco, Guerrero, México, Veracruz, Guanajuato y Puebla; pero vale la pena resaltar el caso, una vez más, de Gas Lux, que en la capital de Zacatecas ofreció el kilogramo un peso con 48 centavos por debajo del máximo en su región, quedando en 18 pesos 27 centavos por kilogramo.",0.0,61,06,11,2023
DAVID AGUILAR ROMERO,"Junto con la información ya mencionada solamente vale comentar que fueron inmovilizados, además, un vehículo y dos cilindros por falta de condiciones de seguridad en esta semana que acaba de pasar.",0.0,31,06,11,2023
