Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Informarles que el día de hoy voy a enviar al Senado de la República la terna de posible ministro para la Suprema Corte de Justicia. Está vacante el lugar del ministro Cossío y, por ley, de conformidad con la Constitución, con el artículo 95 y 96, es una facultad del Titular del Ejecutivo presentar una terna al Senado.",0.001958830207213088,58,06,12,2018
-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Les doy a conocer los nombres de quienes están propuestos.,0.7713817098186397,10,06,12,2018
-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"La abogada Loretta Ortiz. Ella es egresada de la Escuela Libre de Derecho, tiene maestría, tiene doctorado. Es académica de la Universidad Iberoamericana. Cumple con los requisitos.",0.034681573808656906,27,06,12,2018
-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"También, la licenciada Celia Maya García. Ella es Magistrada del Tribunal Superior de Justicia en el Estado de Querétaro. Es egresada de la Universidad Autónoma de Querétaro. Tiene maestría en Derecho Procesal Penal. Inició en el Poder Judicial del Estado de Querétaro como juez, desde 1979.",0.0036237572143051297,46,06,12,2018
-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y el tercer abogado propuesto es el licenciado, también doctor en Derecho, por la UNAM, Juan Luis González Alcántara Carrancá. Él, entre otras funciones, ya fue presidente del Tribunal Superior de Justicia del Distrito Federal, ahora Ciudad de México.",0.017005526423937146,39,06,12,2018
-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Son los propuestos, esa es la terna que se va a enviar el día de hoy.",0.2886918762044515,16,06,12,2018
-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y estoy a las órdenes de ustedes, para ver si abordamos todos los temas y salimos en tiempo.",0.6145383399662325,18,06,12,2018
-PREGUNTA," Buenos días, presidente.",0.7291835902702605,3,06,12,2018
-PREGUNTA,"Rodrigo Muñoz, del Canal del Congreso de la Ciudad de México.",0.6740355261073889,11,06,12,2018
-PREGUNTA,"Mi pregunta es: ayer ya llegó a la Cámara de Diputados, y parece que hoy en el pleno se aprobará la Ley de la Fiscalía General. Un tema que en lo particular los empresarios, incluso ayer que se renombró a Gustavo de Hoyos como presidente de la COPARMEX, es un tema que no les ha parecido tanto e, incluso, tienen una iniciativa para que ésta sea una fiscalía autónoma.",0.12774844838849705,69,06,12,2018
¿,"Cómo será este procedimiento?, lo seguirá apoyando usted desde el Ejecutivo?",0.1581549698141465,11,06,12,2018
¿,"Y saber su opinión sobre estos, ya lo dijo, pero sobre estos tres ministros en general.",0.5277924655063876,16,06,12,2018
-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Lo de la aprobación de la ley y, al mismo tiempo, de la elección de los fiscales, tanto del fiscal general como de los fiscales Anticorrupción y de Delitos Electorales, está en proceso, está en el Congreso.",0.04213235892934784,37,06,12,2018
-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Nosotros, en su momento, vamos a presentar también la terna. En el caso de la Fiscalía General, de acuerdo al procedimiento, se presenta una terna en el Senado, cuando corresponde al Ejecutivo, porque tengo entendido que primero el Senado hace una convocatoria, envía 10 propuestas y el Ejecutivo regresa una terna. Ese es el procedimiento, en general.",0.039790632237592514,57,06,12,2018
-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Cuando se dé este procedimiento, en lo que a nosotros corresponde vamos a presentar esa terna.",0.0644471138061696,16,06,12,2018
-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Estamos en espera y el fiscal electo, hombre o mujer, tiene la facultad para nombrar al fiscal anticorrupción y al fiscal electoral. Ese es el procedimiento, pero todavía no se aprueba en el Congreso esta ley. No inicia el proceso.",0.0106954381468621,40,06,12,2018
-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,En estos días creo que va a comenzar.,0.6651529633710339,8,06,12,2018
-PREGUNTA, Buenos días.,0.9384397760356878,2,06,12,2018
-PREGUNTA,"Sara Pablo de Radio Fórmula, presidente.",0.46280360053666303,6,06,12,2018
