Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
RICARDO SHEFFIELD PADILLA,"Para la Premium, las más baratas, 21 pesos con nueve centavos, Cargo Gas, Saltillo, Coahuila, esto sin tomar en cuenta el margen, y 21 pesos con 29 centavos de Servifácil, en Coatzacoalcos, Veracruz. Las más caras, 26 pesos con 79 centavos de la franquicia Shell, que ya lleva tiempo, sin tomar en cuenta el margen, siendo de los precios más altos en el país, esto es en Ciudad de México, y 25 pesos con 59 centavos, en Aguascalientes, Aguascalientes, también de Shell.",0.0,82,24,01,2022
RICARDO SHEFFIELD PADILLA,"Las más baratas del diésel, 20.54 de Shell, en Querétaro, Querétaro, y 20.79 de Smartgas, en San Pedro Tlaquepaque, Jalisco. Las más caras, 25 pesos con 20 centavos de franquicia Pemex, en Mascota, Jalisco, estos llevan tiempo pasándose de rosca allá en Mascota, y 24 pesos con 13 centavos de G500, en San Pedro Mixtepec, Oaxaca.",0.0,56,24,01,2022
RICARDO SHEFFIELD PADILLA,Y también continuamos revisando el tema de los servicios sanitarios.,0.0,10,24,01,2022
RICARDO SHEFFIELD PADILLA,"Toda esta información la pueden consultar actualizada todos los días a través de la app de Litro por Litro que se descarga de manera gratuita en ambos sistemas, Android e iOS.",0.0,31,24,01,2022
RICARDO SHEFFIELD PADILLA,"Ahora nos vamos al gas LP. Si vemos, también hay una fuerte presión en los precios internacionales del gas. En esta línea azul estamos convirtiendo como parte de este ejercicio el precio internacional en dólares a pesos y convirtiéndolo a kilos y a litros, para poderlo entender de manera sencilla en el mercado mexicano.",0.0,54,24,01,2022
RICARDO SHEFFIELD PADILLA,"Y si hacemos un corte el día 19 de enero, el precio internacional del gas LP por kilo fue de 26 pesos con 45 centavos. Ese mismo día, el precio promedio en México de las 145 regiones fue de 22 pesos con 28 centavos, mientras que, para tanques estacionarios por litro, ese mismo 19 de enero el precio promedio fue de 14 pesos con 12 centavos, 11 pesos 98 centavos por litro para tanque estacionarios, el precio promedio en nuestro país. Es una diferencia de dos pesos, casi dos pesos en el caso, poquito más de dos pesos en el caso de tanques estacionarios y cuatro pesos casi en el caso de cilindros de gas.",0.0,115,24,01,2022
RICARDO SHEFFIELD PADILLA,"Y seguimos encontrando en muchos lugares del país que hay precios por abajo del promedio de la región, del precio máximo. Tenemos casos en Yucatán, en Oaxaca, en Veracruz, en Zacatecas, en San Luis Potosí. Un ejemplo es Abimerhi Premier, en Motul, Yucatán, donde el precio al público para tanque estacionario está en 11 pesos, y el precio promedio de la región es de 12 pesos con nueve centavos.",0.0,69,24,01,2022
RICARDO SHEFFIELD PADILLA,"Y también tenemos ejemplos en el caso de cilindros de gas, Gas Uno de Puebla, en Hueytamalco, Puebla, a 20 pesos con cuatro centavos por kilo, cuando el precio promedio de la región es de 21 pesos con 15 centavos.",0.0,40,24,01,2022
RICARDO SHEFFIELD PADILLA,"En el tema de verificaciones, realizamos 809 verificaciones, de las cuales siete resultaron con infracción. En los siete casos se trató de vehículos que fueron inmovilizados, son los que distribuyen, que tenían fallas en la calibración, pero las 809 estaban respetando como hemos podido constatar los precios máximos de su región, en eso no hemos encontrado problemas.",0.0,57,24,01,2022
RICARDO SHEFFIELD PADILLA,"Y en la canasta de productos básicos, de los 21 productos básicos, afortunadamente el limón ha empezado ya a bajar de precio, que es uno de los 21 productos básicos, un kilo de limón, 18 huevos, y ahí tenemos la relación para que la puedan constatar.",0.0,46,24,01,2022
RICARDO SHEFFIELD PADILLA,"Y vamos ahora por regiones, las cuatro regiones que determina el Banco de México a ver cuál es el precio más alto y el más bajo que encontramos para este paquete:",0.0,31,24,01,2022
RICARDO SHEFFIELD PADILLA,"En Soriana Súper Eugenia, en la Benito Juárez, aquí en la Ciudad de México, este paquete está a mil 25 pesos con 10 centavos, comparado con la Central de Abastos de Iztapalapa, aquí también en la Ciudad de México, que se ha mantenido como la más económica Iztapalapa, la Central de Abastos, a 792 pesos con 38 centavos por este paquete.",0.0,61,24,01,2022
RICARDO SHEFFIELD PADILLA,"Pero hay otras opciones en esta misma región de la zona centro como puede ser Chedraui en Puebla, Puebla, a 880 pesos con 55 centavos el mismo paquete.",0.0,28,24,01,2022
RICARDO SHEFFIELD PADILLA,"Y este mismo paquete en la región centro norte tenemos que Soriana Hiper en Morelia, Michoacán, es la opción más cara mil siete pesos con 65 centavos; mientras que la más barata en Central de Abastos de Guadalajara, Jalisco, 844 pesos con 59 centavos, o en Morelia, Michoacán, Chedraui, 908 pesos con cinco centavos.",0.0,54,24,01,2022
RICARDO SHEFFIELD PADILLA,"En la zona norte del país, Walmart Hipódromo, en Tijuana, Baja California, es la opción más cara, mil 40 pesos con 80 centavos; por ejemplo, en Hermosillo, Sonora, la opción más cara es de Soriana Híper, mil 38 pesos con cinco centavos; mientras que las más económicas, Central de Abastos, de Monterrey, Nuevo León, que también se han mantenido muy competitivos sus precios, 811 pesos con 50 centavos; otra opción es Casa Ley, en Coahuila, en Saltillo, a 865 pesos con 25 centavos.",0.0,83,24,01,2022
RICARDO SHEFFIELD PADILLA,"Por último, en la región sur sureste, una opción cara, Soriana Súper, en Villahermosa, Centro, Tabasco, 995 pesos con 60 centavos el paquete de 21 productos, comparado con la Central de Abastos, también de Villahermosa, Tabasco, 818 pesos, mientras que Walmart, en Mérida, Yucatán, 914 pesos.",0.0,46,24,01,2022
RICARDO SHEFFIELD PADILLA,"Ustedes pueden ver que es una región en la que están más bajo en general los precios de este paquete de 21 productos, además de que una fuerte competencia, porque no hay mucha diferencia entre los precios bajos y altos, por lo menos no tan significativa como en otras regiones del país.",0.0,52,24,01,2022
RICARDO SHEFFIELD PADILLA,Muchas gracias.,0.0,2,24,01,2022
