Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Buenos días.,0.0,2,29,10,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Pues nos da mucho gusto estar en Campeche, este estado de la península con tanta cultura, con tanta historia. Ahora estábamos hablando de Calakmul, de toda la belleza natural, del arte de la cultura prehispánica, del mundo maya, todo eso es Campeche; sobre todo, un pueblo bueno, trabajador, el pueblo de Campeche.",0.0,52,29,10,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y vamos a dar a conocer la situación de seguridad en Campeche. Va a intervenir la nueva gobernadora de Campeche, Layda Sansores, nuestra compañera gobernadora, que la queremos mucho porque ella es precursora del movimiento de transformación nacional y después de mucho batallar, enfrentando fraudes y actos autoritarios, por voluntad del pueblo de Campeche llega a la gubernatura y nos da mucho gusto, nos sentimos muy contentos.",0.0,67,29,10,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y desde luego que vamos a seguir apoyando al pueblo de Campeche con todos los programas federales, los Programas de Bienestar.",0.0,21,29,10,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Vamos a cumplir el compromiso de que Pemex se traslade a Ciudad del Carmen, Pemex va a tener como sede Campeche.",0.0,21,29,10,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y Campeche es de los estados del sureste más beneficiados por el Tren Maya, porque lo va a comunicar por completo, desde Escárcega hasta los límites con Yucatán, y luego desde Xpujil, los límites con Quintana Roo hasta Escárcega, Candelaria, los límites con Tabasco.",0.0,44,29,10,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y desde luego vamos a continuar con los Programas de Bienestar: las pensiones a los adultos mayores, a niñas, a niños con discapacidad; aquí se está llevando a cabo el programa Sembrando Vida, hay 20 mil sembradores sembrando árboles frutales, maderables; y vamos a seguir entregando las becas, atendiendo a los jóvenes, mejorando todo lo relacionado con la educación pública, con la salud.",0.0,63,29,10,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, nos da mucho gusto estar aquí en Campeche.",0.0,9,29,10,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,El programa de hoy se divide en dos partes:,0.0,9,29,10,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Vemos la situación de seguridad en Campeche. Desde luego, va a tomar la palabra la gobernadora Layda Sansores y el almirante Ojeda va a informar sobre la incidencia delictiva en Campeche.",0.0,31,29,10,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Cerramos este capítulo y vamos desde Campeche a informar a todo el país a informar sobre el plan nacional de vacunación, porque hay una buena noticia: ya se cumplió con el compromiso de aplicar cuando con una dosis a todos los mexicanos, mujeres y hombres mayores de 18 años; ya avanzamos mucho.",0.0,52,29,10,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Desde luego, hay quienes no han aceptado vacunarse, pero están cambiando de parecer. Y vamos a continuar con segundas dosis, vamos a continuar convenciendo a los que no se han vacunado, el mejor argumento es de que ahora los que se hospitalizan por contagio y los que desgraciadamente fallecen, la mayoría son los no vacunados, porque la vacuna ayuda, la vacuna protege.",0.0,62,29,10,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, yo estoy seguro que la gente va a ir, como lo ha venido haciendo, porque los porcentajes de vacunación en México con relación a otros países son altos. Hay una referencia, hay un dato, que seguramente el doctor Hugo López-Gatell les va a dar a conocer, de cuando se hizo el censo y se les preguntaba a la gente si se iban a vacunar, el porcentaje era menor o más bajo a lo que se está logrando, es decir, mucha gente se ha ido convenciendo de que es importante la vacuna. Vamos por eso a informar sobre el plan de vacunación.",0.0,102,29,10,2021
