Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,  Buenos días. Ánimo. Estamos iniciando la semana.,0.6337369476223766,7,30,3,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Hoy va a haber reunión del Consejo de Salubridad General a la 1:00 de la tarde para hacer un balance de la epidemia de coronavirus y aprobar medidas que vamos a aplicar, sobre todo el que continuemos insistiendo en quedarnos en casa y cuidarnos.",0.03030980661303717,44,30,3,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Desde el principio venimos sosteniendo que esta epidemia no se cura sólo en los hospitales, se cura en la familia, se cura con medidas preventivas, con el cuidado que tengamos todos. Afortunadamente, y esto es muy importante, nosotros tenemos una ventaja con relación a otros países, tenemos una familia fraterna, los mexicanos contamos con ese gran activo y eso permite que cuidemos sobre todo a nuestros adultos mayores, que es la población más vulnerable, y ya se está haciendo.",0.5810307939721364,79,30,3,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y quiero felicitar a todos los mexicanos por su apoyo en estos momentos, ya se está cuidando a los adultos mayores, esto nos va a ayudar muchísimo. Esto no está en las recomendaciones de la Organización Mundial de la Salud, esto es un activo muy de México y también de otros países, el que nuestra familia, nuestras familias sean fraternas.",0.4421034133469074,60,30,3,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"La familia, repito, es la institución de seguridad social más importante del país. Eso es lo que nos hace fuertes, porque no tendríamos las enfermeras que se requieren en caso de que haya un desbordamiento de la epidemia. Pero contamos con millones de enfermeras en los hogares de México, enfermeros y enfermeras, pero más enfermeras porque, aunque van cambiando los roles, y eso es necesario y justo, el que haya no sólo amas de casa, sino amos de casa, todavía por nuestras culturas, nuestras costumbres, son las mujeres las que más atienden a los padres, los hombres somos más desprendidos.",0.07010531360147759,100,30,3,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Esto es un elemento bueno ante una crisis como la que estamos enfrentando y esto nos ayuda para prepararnos, seguir cuidando a nuestros adultos mayores a nuestros enfermemos de diabetes, hipertensión, de padecimientos renales.",0.012682135640489112,34,30,3,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Nos ayuda también que México tiene una población mayoritariamente joven, tenemos un promedio de edad de 28 años, esto nos ayuda mucho. En otros países traen promedios de edad, por mencionar Italia, España, Estados Unidos, de más de 40 años; entonces, tenemos una población más resistente frente a esta epidemia que, está demostrado, afecta más a los adultos mayores.",0.28818507781440467,59,30,3,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Aunque en México tenemos altos niveles de obesidad, de diabetes; sin embargo, es una población joven y, repito, nuestras culturas, la importancia de mantener unida e integrada a la familia.",0.5596533161342805,30,30,3,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Decirle al pueblo de México que tenga la seguridad que estamos actuando en forma responsable desde el principio estamos apoyándonos en los médicos, en los especialistas, ellos son los que van conduciendo toda la estrategia.",0.1318409205849037,35,30,3,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Hoy, después de que se reúna el Consejo de Salubridad General, a las 7:00 de la noche, como lo hacemos todos los días, el subsecretario de Salud, Hugo López-Gatell, va a dar a conocer las acciones que se acordaron o que se van a acordar en el Consejo General. Le pido a todos los mexicanos que estemos atentos hoy a las 7:00.",0.03381938266469235,62,30,3,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y agradecerles mucho a todos por su solidaridad, por su apoyo, por hacer caso, porque estoy constatando que la gente está apoyando mucho con su actitud.",0.4950267029560106,26,30,3,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Decirles también que seguimos trabajando para consumar la transformación de México, porque la peste más funesta, trágica de México ha sido la corrupción, que no lo olvidemos, no podemos detener la transformación. El mal que más ha dañado a México, el mal que más aqueja, el cáncer que estaba destruyendo a México es la corrupción y tenemos que terminar de erradicarlo, desterrar la corrupción de México. Esa es la campaña principal, porque por ese mal, por esa peste se produjo una grave crisis económica y de bienestar social, por eso la pobreza, la inseguridad, la violencia.",0.0007720559958794253,96,30,3,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, un ojo al gato y otro al garabato. No desatender el tema central, que es acabar con la corrupción, porque ese es el principal problema.",0.23023361641089254,26,30,3,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y ya vamos avanzando, por eso estoy seguro de que vamos a salir adelante ante el coronavirus y ante cualquier calamidad, porque estamos enfrentando el problema principal de México.",0.393824904367365,29,30,3,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Por eso también la desesperación y los ataques de los que quieren que se mantenga el mismo régimen de corrupción, por eso quisieran que yo desapareciera ya, que me vaya a retiro, a cuarentena.",0.03824470819218461,34,30,3,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Ayer hablaba yo de eso. Imagínense, en política nunca hay vacíos de poder, siempre se llenan. Si no hay conducción, pues entonces les dejamos el terreno a estos irresponsables, conservadores corruptos. No, va a seguir habiendo conducción responsable para la transformación del país y al mismo tiempo vamos a salir airosos de esta epidemia. Y ánimo, mucho ánimo, vamos a vencer, vamos a triunfar.",0.0091659308095565,64,30,3,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Como todos los lunes, vamos a escuchar el informe de Ricardo Sheffield sobre quién es quién en los precios, es muy interesante el informe del día de hoy; luego también de las obras, el avance en la construcción del Aeropuerto de Santa Lucía y en la refinería.",0.5036851951682223,47,30,3,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Fíjense cómo estarán de molestos, enojados los que se sentían dueños de México que sus escribanos están planteando que cancelemos estas obras, los intelectuales orgánicos recomendando que ante la crisis se cancele la construcción del aeropuerto de Santa Lucía, que se cancele la construcción del Tren Maya, que se cancele la construcción de la refinería.",0.1519201323497539,55,30,3,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Les contesto: ¿de qué quieren su nieve?, porque estoy muy atento a sus propuestas tan racionales, tan bien fundadas, con tantos argumentos. Ni un paso atrás, al contrario, tenemos que reactivar la economía lo más pronto posible.",0.566622632404334,37,30,3,2020
