Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,: Buenos días. Ánimo.,0.7283130128387844,4,10,01,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Hoy vamos a tratar dos temas y contestar como siempre todas las preguntas. Ojalá y lo podamos hacer lo más pronto posible, porque ustedes tienen también otras actividades.",0.6104631170654212,28,10,01,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Primero, informarles que hoy inicia el programa Jóvenes Construyendo el Futuro, este es un programa estratégico, fundamental, lleno de contenido, lleno de justicia, de humanismo; es la atención a los jóvenes, a los que se les ha dado la espalda en los últimos tiempos, que se les etiquetó, fue lo único que se hizo. En vez de atenderlos se les etiquetó como ninis, que ni estudian, ni trabajan; se acuñó esa frase desdichada, porque no es culpa de ellos el que no haya oportunidades de estudio ni de trabajo.",0.02881815796857844,89,10,01,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, me da mucho gusto anunciar el día de hoy que ya comenzamos con este programa. Hoy vamos ya a enlazar a los primeros tutores, que son empresarios, comerciantes, dueños de talleres, con jóvenes que se van a formar, que se van a capacitar, jóvenes aprendices, que mientras estén formándose, capacitándose, aprendiendo, van a estar recibiendo un salario de tres mil 600 pesos mensuales.",0.023301789203921914,64,10,01,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Lo importante también es que es un programa amplio, universal, para todos los jóvenes, no tiene límite.",0.8323244211461179,17,10,01,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Nos da gusto anunciar el arranque de Jóvenes Construyendo el Futuro, un programa estratégico lleno de contenido, justicia y humanismo. Hoy se entregarán las primeras tarjetas a quienes ya se inscribieron a la iniciativa.",0.30233617513647254,34,10,01,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Se logró un presupuesto de 44 mil millones de pesos para este programa y si se necesita más, vamos a hacer transferencias, vamos a conseguir más recursos, porque se trata de un programa prioritario.",0.15346320963509721,34,10,01,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Vamos a escuchar la exposición de Luisa María Alcalde, secretaria del Trabajo.",0.242943568740067,12,10,01,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Después de tratar este tema, vamos también a informarles sobre el plan para combatir por completo, por entero, en definitiva, el robo de combustible y la manera en que se está actuando y se seguirá actuando.",0.02000848908664619,36,10,01,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Adelanto que le agradezco mucho a la gente todo el apoyo que nos están brindando, los ciudadanos de todos los sectores, el ciudadano que está resistiendo por las colas y que lo está haciendo porque sabe que esto nos conviene a todos y que no podemos darnos por vencidos; que tenemos que acabar con la corrupción, que no podemos ser cómplices del robo, de la corrupción; que acabar con la corrupción es asunto de todos, no sólo del presidente de México y de los servidores públicos, y están ayudando, resistiendo; también los ciudadanos que han cuidado su gasolina y que no han ido asustados por la propaganda a llenar el tanque y a complicar las cosas.",0.012473695540972784,116,10,01,2019
