Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Buenos días. Ha habido, hay y habrá mañaneras.",0.0,8,10,04,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Bueno, vamos a iniciar la semana. Como siempre, nos va a informar Ricardo Sheffield sobre quién es quién en los precios de alimentos y de combustibles, y posteriormente vamos a informar sobre el avance del Tren Maya y sobre otras obras que se están llevando a cabo.",0.0,47,10,04,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Hoy es un día especial, 10 de abril, hoy recordamos el asesinato del gran dirigente campesino Emiliano Zapata. Zapata es el iniciador del movimiento agrario en México, él llamó primero a su pueblo, Anenecuilco, en Ayala, a tomar las armas para enfrentar a la dictadura porfirista que protegía a los latifundistas, a los grandes hacendados.",0.0,55,10,04,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Es momento para recordar que en el porfiriato las haciendas invadían las tierras de los pueblos, porque suele primero siempre pensarse que los campesinos son los invasores. Y la Revolución en esta vertiente agraria se inicia porque había un auge en la producción de caña de azúcar y las haciendas cañeras, pero también en las haciendas henequeneras de Yucatán… Porque había un auge del henequén, allá ese auge del henequén llevó a la esclavitud de los mayas y también a la esclavitud de los yaquis que, desde Sonora, eran deportados para trabajar como esclavos en las haciendas henequeras.",0.0,98,10,04,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Lo mismo sucedía en Morelos, en Puebla, en Veracruz. Existía en ese entonces Valle Nacional, que está en el Papaloapan, en la cuenca del Papaloapan, cerca de Tuxtepec, y ahí se sembraba caña y sobre todo Tabasco, y se tenían peones encasillados, esclavos, que eran enganchados para ir a trabajar a esas haciendas.",0.0,53,10,04,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Bueno, en Morelos, por ese auge de la industria azucarera, las haciendas invadían las tierras de los pueblos. Y había una hacienda que se llamaba El Hospital, en Anenecuilco, era de un señor Escandón, muy amigo de Porfirio Díaz. Estos hacendados eran los que imponían a los gobernadores, y esa hacienda invadía cada vez más las tierras de los habitantes de Anenecuilco.",0.0,62,10,04,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y siempre iban a llevar sus escritos a Cuernavaca, al gobernador, y nunca les hacían caso y cada vez perdían más sus tierras, que se las habían entregado o, mejor dicho, se las habían respetado desde tiempos inmemoriales, desde la época de la Colonia, desde las leyes de India tenían sus documentos, eran los dueños legítimos, legales de esas tierras.",0.0,60,10,04,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, iban a pedir justicia y los gobernadores nunca los atendían. Hay la anécdota de que el gobernador de Morelos de ese entonces envió uno de esos escritos al hacendado, al señor Escandón, y la respuesta del hacendado al gobernador fue por demás prepotente, le recomendó que les dijera a los de Anenecuilco que, si querían sembrar, que lo hicieran en maceta.",0.0,62,10,04,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Por eso, los ancianos, que eran los encargados de estas gestiones, una tarde-noche llamaron al pueblo a una asamblea. No tocaron las campanas, como era la costumbre, se corrió la voz, se reunieron, y ahí informaron que ya no podían seguir con la gestión porque no se avanzaba y que ellos ya estaban grandes, ya estaban cansados y que necesitaban gente joven, sangre nueva, para continuar con la gestión. Y ahí en la asamblea eligieron a Emiliano Zapata, que era joven.",0.0,81,10,04,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Zapata aceptó. No hablaba mucho, sólo lo único que dijo fue que, si lo iban a apoyar, había que —usó una expresión— fajarse los pantalones.",0.0,25,10,04,2023
