Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,: Buenos días. Ánimo.,0.0,4,23,07,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Pues hoy vamos a tratar lo relacionado con la seguridad, como lo hacemos cada 15 días; nos van a informar los integrantes del Gabinete de Seguridad, y luego vamos a responder a las preguntas de ustedes para llevar a cabo el diálogo circular del día de hoy.",0.0,47,23,07,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Vamos a empezar con el general Bucio —así es, ¿verdad?, el orden— mientras vienen los otros integrantes. Es que se nos hizo tarde; no se durmió el gallo, es que hay bastantes cosas que tratar. Adelante.",0.0,36,23,07,2024
LUIS RODRIGUEZ BUCIO," Con su permiso, señor presidente. Muy buenos días.",0.0,8,23,07,2024
LUIS RODRIGUEZ BUCIO,"Me voy a permitir informar el avance de ‘Cero impunidad’ del 8 al 22 de julio. Tenemos seis extradiciones realizadas por la Fiscalía General de la República a algunos jurados, cortes de Estados Unidos. Estas tres son Conrado, Rodrigo y Sergio, son requeridos por cortes en el estado de Arizona. Conrado por abuso sexual, Rodrigo por asociación delictuosa y contra la salud, y Sergio por homicidio y agresión sexual.",0.0,69,23,07,2024
LUIS RODRIGUEZ BUCIO,"Este también es requerido en Arizona, Francisco, por abuso sexual y violación en contra de una menor. Francisco por una corte en el estado de California por abuso sexual y Pedro requerido por una corte en el estado de California por homicidio en agravio de una persona.",0.0,47,23,07,2024
LUIS RODRIGUEZ BUCIO,"Detenciones relevantes, en esta ocasión tenemos esta, de Saúl Adán. Él era alumno de la Escuela Normal Rural ´Lázaro Cárdenas del Río’, conocida como la Normal de Tenería. En el Estado de México fue detenido por la fiscalía del Estado de México, con apoyo del Conaho, Conase y la Secretaría de Seguridad estatal, tras cumplimentar una orden de aprehensión por el delito de homicidio calificado en agravio de Brayan Isidro, otro estudiante del mismo plantel, hecho ocurrido el 2 de julio del presente año en el municipio de Tenancingo. De acuerdo con las investigaciones, el hoy detenido y tres individuos más presuntamente lesionaron con palos y tubos hasta causarle la muerte. Él era considerado al interior de la normal como una persona violenta.",0.0,123,23,07,2024
LUIS RODRIGUEZ BUCIO,"Siguiente detención, Sergio Daniel. Él fue detenido en Ciudad Obregón, Sonora, por la fiscalía de Sonora, en coordinación con la fiscalía de Baja California, por su probable responsabilidad en el delito de feminicidio cometido en agravio de Paola Andrea, hecho ocurrido el 8 de julio de este año en Mexicali, Baja California. De acuerdo con las investigaciones, el día 7 de julio por la tarde Paola salió de su casa para encontrarse con algunas amigas en un bar de Mexicali. Durante la madrugada del día siguiente, 8 de julio, Paola solicita un servicio de Taxi de la aplicación Didi, abordando la unidad que conducía el hoy detenido para regresar a su domicilio; sin embargo, el día jueves Paola Andrea, jueves 11 de julio, Paola Andrea fue hallada sin vida en un terreno en las afueras de Mexicali. Sergio Daniel habría huido a Ciudad Obregón, Sonora, donde fue detenido.",0.0,148,23,07,2024
LUIS RODRIGUEZ BUCIO,"Adelante. Estas cuatro detenciones fueron hechas por la fiscalía del Estado de México, la Conaho, Conase, la Guardia Nacional participó también y la Secretaría de Seguridad estatal, tras cumplimentar una orden de aprehensión en su contra por el delito de homicidio calificado en agravio de dos menores de edad ocurrido el 19 de julio del 2024 en Huixquilucan, Estado de México. aquí, de acuerdo con las investigaciones, los dos menores caminaban sobre las calles en la colonia Las Canteras al salir de la escuela secundaria, lugar donde fueron interceptados por estas cuatro personas que viajaban a bordo de un vehículo. Al parecer, pretendían cobrarle a uno de los menores el dinero por la venta de droga que ellos mismos le habían distribuido, y ante la negativa del menor dos de ellos dispararon contra los menores, provocándoles la muerte. Esas personas, la Fiscalía General de Justicia del Estado de México los identifica como distribuidores de droga y generadores de violencia en los municipios de Tultitlán, Tlalnepantla, Naucalpan y Huixquilucan; además, relacionados con diversos homicidios y extorsiones.",0.0,175,23,07,2024
LUIS RODRIGUEZ BUCIO,"Esta otra detención, de Jesús Eduardo ‘N’, él fue aprehendido en reclusión por la fiscalía del estado de Sonora por el delito de homicidio calificado en grado de tentativa y asociación delictuosa en perjuicio del comunicador Federico ‘N’, alías ‘el Güero Hans’, ocurrido esto el 17 de julio en Caborca, Sonora. De acuerdo con las investigaciones la víctima, ‘el Güero Hans’, salía de su domicilio cuando personas a bordo de un vehículo Nissan, color blanco, entre las cuales se encontraba precisamente Jesús Eduardo, arribaron al lugar y dispararon contra Federico, lesionándolo en varias partes del cuerpo. Jesús Eduardo fue localizado y detenido el mismo día de los hechos por la fiscalía de Sonora y la Secretaría de Marina en posesión de cuatro armas de fuego, una corta y tres largas. La fiscalía estatal identificó que una de las armas aseguradas había sido utilizada en la agresión contra ‘el Güero Hans’ y por ello le solicitó y complemento la orden de aprehensión en reclusión.",0.0,163,23,07,2024
LUIS RODRIGUEZ BUCIO,"Esta vinculación a proceso, se trata de Luis Alberto ‘N’, él es vinculado a proceso con medida cautelar de prisión preventiva justificada por su presunta participación en el homicidio de un adolescente, quien fue agredido por disparos de armas de fuego cuando viajaba junto con su padre a bordo de un vehículo de carga en la autopista México-Pachuca, esto el 28 de junio pasado a la altura del poblado de Tecámac. De acuerdo con las investigaciones, la víctima y su padre circulaban a bordo de un vehículo de carga cuando fueron interceptados por tripulantes de un Jetta color negro, quienes se identificaron como policías. Una vez detenido el vehículo, las cuatro personas descendieron del Jetta y se aproximaron a la víctima y su padre con la intención de asaltarlos; sin embargo, al percatarse que estaban siendo grabados desistieron del asalto y abordaron de nuevo su vehículo, pero más adelante los tripulantes del Jetta dieron alcance a las víctimas y les dispararon, provocándole la muerte al adolescente que iba como copiloto y que era el que estaba grabando. Él fue detenido por la fiscalía del Estado de México con apoyo de Semar y la Secretaría de Seguridad Pública estatal.",0.0,198,23,07,2024
LUIS RODRIGUEZ BUCIO,"Sentencias, tenemos esta de 15 años de prisión en contra de José ‘N’, él se desempeñaba como reportero de nota roja en Papantla, sentenciado a 15 años de prisión tras acreditar su participación en el delito de homicidio doloso calificado cometido en agravio de la periodista María Elena Ferral Hernández. Ella fue agredida el 30 de marzo de 2020 al salir de una notaría en Papantla, Veracruz, y murió horas después en un hospital de Poza Rica. Por estos hechos también ya han sido sentenciadas otras cuatro personas, que están aquí, a 30 años de prisión.",0.0,96,23,07,2024
LUIS RODRIGUEZ BUCIO,"Esta otra sentencia, de 346 años y ocho meses de prisión, en contra de Leonardo tras acreditar su participación en el delito calificado de ocho personas y homicidio en grado de tentativa en agravio de dos menores de edad en Chimalhuacán, Estado de México, el 22 de enero del 23. De acuerdo con las investigaciones, las víctimas se encontraban en una celebración en un inmueble en el barrio Fundidores, del municipio de Chimalhuacán, lugar al que arribaron ocho personas, entre ellos el hoy sentenciado, a bordo de cuatro motocicletas con la intención de asesinar a una de las personas asistentes a la fiesta dedicada a la santería; sin embargo, los implicados realizaron disparos con armas de fuego en contra de los asistentes de forma indiscriminada, provocando la muerte de ocho personas y lesionando de gravedad a dos menores.",0.0,138,23,07,2024
LUIS RODRIGUEZ BUCIO,"Adelante. Esta sentencia de 20 años y cuatro meses de prisión en contra de Oscar Lenin tras acreditar su responsabilidad en el delito de robo de vehículo con violencia, hechos ocurridos el 10 de junio en Naucalpan, Estado de México. Estos hechos quedaron grabados en una cámara al interior del vehículo y se difundió, estuvo difundiéndose mucho en redes sociales. De acuerdo con las investigaciones, Oscar Lenin, en complicidad con otra persona—este es Oscar Lenin, esta es la otra persona que iba con él— sometieron y despojaron al conductor de un vehículo Toyota mientras circulaba por las calles de la colonia de la Unidad San Esteban. Después, huyen a bordo del vehículo, el cual contaba, como decimos, con cámaras que captó los detalles del asalto.",0.0,125,23,07,2024
LUIS RODRIGUEZ BUCIO,"Adelante. Y en jueces que favorecen a presuntos delincuentes tenemos este caso, es un amparo otorgado al exalcalde de Iguala en contra de la prisión preventiva justificada, José Luis ‘N’. Él fue sentenciado a 92 años de prisión por el secuestro de seis activistas y se relacionada con la desaparición de los 43 estudiantes de la Normal de Ayotzinapa. Aquí el juez Everardo Maya le otorga un amparo a José Luis ‘N’ para que el Juzgado Tercero de Distrito de Procesos Penales Federales, que está en Toluca, deje sin efecto su resolución de fecha del 14 de diciembre del año anterior, en la que se le negó al exalcalde la sustitución de prisión preventiva por otra medida no privativa de libertad en reclusión, lo anterior debido a que en su solicitud de amparo José Luis ‘N’ había manifestado problemas de salud. Por ello, se instruyó al juez tercero de Procesos Penales que ordene oficiosamente las pruebas necesarias para ver si se trata de una enfermedad mortal, de una grave, de una enfermedad terminal o crónico degenerativa compleja o no la que padece el expresidente municipal de Iguala. Y una vez hecho lo anterior, el juez tercero de Procesos Penales debe emitir una nueva resolución en la que establezca si José Luis puede ser beneficiado con la excepción de la prisión preventiva en reclusión, considerada en el Código Nacional de Procedimientos Penales.",0.0,231,23,07,2024
LUIS RODRIGUEZ BUCIO,"Este caso es un cambio de medida cautelar al presunto líder de célula delictiva afín al cártel Jalisco Nueva Generación, más bien son dos, Fangsheng y Ulises. Aquí el juez Samuel Ventura Ramos en audiencia inicial del 9 de julio ordenó la libertad a Fanghsehg, alías ‘el Guacho’ o ‘el Comandante’, y a Ulises, tras imponerles una medida cautelar no restrictiva de libertad por la de firma periódica y una garantía económica de cinco mil pesos a cada uno. De acuerdo con el juez Ventura Ramos, el hecho delictivo que se les imputa, aun cuando tiene que ver con armas y drogas, no es suficiente para imponerles prisión preventiva justificada, ya que, a su consideración, existen otras medidas que garantizarían la asistencia de los procesados al procedimiento, aquí incluso no considera el riesgo para las víctimas y los testigos. Y Fangsheng es considerado un presunto líder de una célula delictiva afín al cártel Jalisco Nueva Generación en el sur de Tabasco y norte de Chiapas.",0.0,165,23,07,2024
LUIS RODRIGUEZ BUCIO,Sería cuanto por ‘Cero impunidad’. Me permito ceder el micrófono al comandante de la Guardia Nacional.,0.0,16,23,07,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, ¿Por qué no continúas?,0.0,4,23,07,2024
LUIS RODRIGUEZ BUCIO," Sí. A continuación, me voy a permitir exponer el caso de los jueces que de alguna manera facilitan la salida de personas privadas de su libertad en fines de semana.",0.0,30,23,07,2024
LUIS RODRIGUEZ BUCIO,"Tenemos estos datos desde el año 2018 hasta el 2024, vemos que en fines de semana tenemos registrados 192 PPL que se les ha otorgado su libertad entre el viernes y domingo, mientras que de lunes a jueves solamente 58 PPL se les ha otorgado libertad entre semana. De manera que el total que tenemos es de 250 PPL. Si observamos la numeralia, vemos que incluso en el año 2019 por algún motivo fueron 89 los PPL favorecidos con este tipo de libertades; en los primeros años del sexenio no había PPL liberados entre semana, todos eran en fin de semana. Son PPLs de penales federales y por delitos federales los que tenemos, el registro es de PPL de nivel o del fuero federal.",0.0,124,23,07,2024
LUIS RODRIGUEZ BUCIO,"Observamos que por algún motivo, que puede ser ya presión en contra de precisamente este tipo de conductas, empieza a cambiar el número de PPL que son liberados entre semana, incluso ya en 2024 ya son menos los de fin de semana que los de entre semana. Ahí queda claro que en el Poder Judicial algo pasa y todos quieren o todas las liberaciones acostumbran a ser en precisamente fin de semana, que es cuando de alguna manera, por ejemplo, no se puede revisar rápidamente si alguno de los liberados tiene en alguna fiscalía estatal otra causa, otra carpeta de investigación. Entonces, está claro esta numeralia.",0.0,106,23,07,2024
LUIS RODRIGUEZ BUCIO,"A continuación, voy a explicar 25 casos relevantes precisamente de estos 192 que han sido liberados entre viernes y domingo. Iniciamos.",0.0,21,23,07,2024
LUIS RODRIGUEZ BUCIO,"El primero, el juez facilitador, aquí fue Gregorio Salazar Hernández; la persona beneficiada, Jannet Miriam, colaboradora de Genaro ‘N’, el exsecretario de Seguridad y Protección Ciudadana, ella era la titular de lo que ahora es PYRS. El motivo de egreso, cambio de medida cautelar por los delitos de peculado y delincuencia organizada. Se le notifica el viernes 14 de junio el egreso, sale el viernes 14, ¿por qué?, porque ella egresa directamente desde el centro de justicia, es decir, ella ni siquiera regresó ya a su celda.",0.0,87,23,07,2024
LUIS RODRIGUEZ BUCIO,"Adelante. Este juez facilitador es el licenciado Andrés Escamilla González, el favorecido es Vicente Javier, de un grupo de secuestradores encabezados por el cuñado de Abigail, alias ‘el Cuini’, cuñado de Nemesio, alias ‘Mencho’. El motivo de su egreso es sentencia absolutoria por esos delitos, robo con violencia, homicidio calificado, asociación delictuosa y privación de la libertad. Le notifican el viernes 3 de febrero que salga inmediatamente, pero él sale el domingo 5 de febrero.",0.0,75,23,07,2024
